symbol,date,open,high,low,close,volume,currency
IT0005508590,2026-06-02,103.5400,103.6100,103.3700,103.3700,341000,EUR
IT0005508590,2026-06-03,103.0900,103.1300,102.8800,102.8800,3651000,EUR
IT0005508590,2026-06-04,102.9500,103.0100,102.7100,102.8200,3412000,EUR
IT0005508590,2026-06-05,102.8400,102.9100,102.6000,102.6400,1224000,EUR
IT0005508590,2026-06-08,102.3500,102.6300,102.3200,102.3900,8415000,EUR
IT0005508590,2026-06-09,102.4800,102.7400,102.4000,102.5400,2747000,EUR
IT0005508590,2026-06-10,102.5800,102.5800,102.0700,102.2800,2971000,EUR
IT0005508590,2026-06-11,102.2200,102.7500,102.2200,102.6800,2521000,EUR
IT0005508590,2026-06-12,103.1100,103.3900,102.9000,103.0900,4579000,EUR
IT0005508590,2026-06-15,103.5800,103.6500,103.5200,103.5800,2795000,EUR
IT0005508590,2026-06-16,103.6200,103.9200,103.6000,103.7700,3531000,EUR
IT0005508590,2026-06-17,104.0300,104.0300,103.8000,103.8300,7847000,EUR
IT0005508590,2026-06-18,103.8100,103.9400,103.5900,103.9400,1842000,EUR
IT0005508590,2026-06-19,103.6400,103.6400,103.3200,103.3300,1473000,EUR
IT0005508590,2026-06-22,103.5700,103.7700,103.4300,103.7100,1787000,EUR
IT0005508590,2026-06-23,103.7200,103.9200,103.7000,103.8300,5491000,EUR
